name	kanGebiedsOptie	GasNodig	categorie	Label	min_schillabel	min_schillabel_specifiek	RVb	RVp	TWb	TWp	KDb	KDp
HWP_wKD_TWeb	0	1	hybride	HWP_wKD_TWeb	D	D	BasisHWP_w	hHR	eBoiler	eBoiler	BasisHWP_w	BasisHWP_w
HWP_zKD_hTWds	0	1	hybride	HWP_zKD_hTWds	D	D	BasisHWP_w	hHR	DS_douche	hHR	geen	geen
HWP_wKD_hTWds	0	1	hybride	HWP_wKD_hTWds	D	D	BasisHWP_w	hHR	DS_douche	hHR	BasisHWP_w	BasisHWP_w
HWP_zKD_TWds	0	1	hybride	HWP_zKD_TWds	D	D	BasisHWP_w	hHR	DS_douche	DS_keuken	geen	geen
HWP_wKD_TWds	0	1	hybride	HWP_wKD_TWds	D	D	BasisHWP_w	hHR	DS_douche	DS_keuken	BasisHWP_w	BasisHWP_w
hIR_zKD_TWg	0	1	hybride	hIR_zKD_TWg	C	C	IR	hHR	hHR	hHR	geen	geen
hIR_vKD_TWg	0	1	hybride	hIR_vKD_TWg	C	C	IR	hHR	hHR	hHR	AirCoVast	AirCoVast
hIR_mKD_TWg	0	1	hybride	hIR_mKD_TWg	C	C	IR	hHR	hHR	hHR	AirCoMobiel	AirCoMobiel
hIR_zKD_TWeb	0	1	hybride	hIR_zKD_TWeb	C	C	IR	hHR	eBoiler	eBoiler	geen	geen
hIR_vKD_TWeb	0	1	hybride	hIR_vKD_TWeb	C	C	IR	hHR	eBoiler	eBoiler	AirCoVast	AirCoVast
hIR_mKD_TWeb	0	1	hybride	hIR_mKD_TWeb	C	C	IR	hHR	eBoiler	eBoiler	AirCoMobiel	AirCoMobiel
hIR_zKD_hTWds	0	1	hybride	hIR_zKD_hTWds	C	C	IR	hHR	DS_douche	hHR	geen	geen
hIR_vKD_hTWds	0	1	hybride	hIR_vKD_hTWds	C	C	IR	hHR	DS_douche	hHR	AirCoVast	AirCoVast
hIR_mKD_hTWds	0	1	hybride	hIR_mKD_hTWds	C	C	IR	hHR	DS_douche	hHR	AirCoMobiel	AirCoMobiel
hIR_zKD_TWds	0	1	hybride	hIR_zKD_TWds	C	C	IR	hHR	DS_douche	DS_keuken	geen	geen
hIR_vKD_TWds	0	1	hybride	hIR_vKD_TWds	C	C	IR	hHR	DS_douche	DS_keuken	AirCoVast	AirCoVast
hIR_mKD_TWds	0	1	hybride	hIR_mKD_TWds	C	C	IR	hHR	DS_douche	DS_keuken	AirCoMobiel	AirCoMobiel
Gebied_zK	0	0	gebied	Gebied_zK	N	N	gebiedsoptie	gebiedsoptie	gebiedsoptie	gebiedsoptie	geen	geen
Gebied_gK	0	0	gebied	Gebied_gK	N	N	gebiedsoptie	gebiedsoptie	gebiedsoptie	gebiedsoptie	gebiedsoptie	gebiedsoptie
